ID	Directory	CreatedAt	UpdatedAt	Title	Creator	WordsCount	UniqueWordsCount	A1Words	A2Words	B1Words	B2Words	C1Words	C2Words	A1Readability	A2Readability	B1Readability	B2Readability	C1Readability	C2Readability
d62b4c53	b-smith/muhammad-ali	2022-10-04	2022-10-04	Muhammad Ali	B. Smith	1253	261	139	40	25	20	17	13	60	73	79	85	94	98
5311eca3	banjo-paterson/an-outback-marriage	2022-10-04	2022-10-04	An Outback Marriage	Banjo Paterson	33244	4497	465	457	716	972	901	673	59	71	81	89	96	99
8cb59bbb	barnaby-newbolt/climate-change	2022-10-04	2022-10-04	Climate Change	Barnaby Newbolt	4137	431	197	66	57	39	32	23	56	70	81	90	94	98
de83fb58	baroness-orczy/el-dorado	2022-10-04	2022-10-04	El Dorado	Baroness Orczy	60086	5891	464	473	826	1209	1376	1102	53	65	77	88	95	99
581faec7	baroness-orczy/i-will-repay	2022-10-04	2022-10-04	I Will Repay	Baroness Orczy	32019	4731	459	451	735	981	1021	787	51	63	76	87	94	99
763020d5	baroness-orczy/lord-tony-s-wife	2022-10-04	2022-10-04	Lord Tony’s Wife	Baroness Orczy	43586	5524	466	462	811	1134	1194	1048	51	62	75	86	93	99
ce707bdc	baroness-orczy/pimpernel-and-rosemary	2022-10-04	2022-10-04	Pimpernel and Rosemary	Baroness Orczy	51535	5497	468	471	829	1140	1250	955	56	68	79	90	96	99
162b4fd7	baroness-orczy/the-elusive-pimpernel	2022-10-04	2022-10-04	The Elusive Pimpernel	Baroness Orczy	41531	5503	465	467	807	1133	1245	999	50	63	74	86	95	99
15238a14	baroness-orczy/the-first-sir-percy	2022-10-04	2022-10-04	The First Sir Percy	Baroness Orczy	44007	5577	460	452	769	1101	1262	1083	51	63	74	85	94	99
250db726	baroness-orczy/the-laughing-cavalier	2022-10-04	2022-10-04	The Laughing Cavalier	Baroness Orczy	60646	5831	462	458	826	1198	1378	1116	53	66	77	87	95	99
8739bf9e	baroness-orczy/the-league-of-the-scarlet-pimpernel	2022-10-04	2022-10-04	The League of the Scarlet Pimpernel	Baroness Orczy	36786	4835	464	457	745	1008	1036	835	52	64	76	87	94	99
846ab0dc	baroness-orczy/the-scarlet-pimpernel	2022-10-04	2022-10-04	The Scarlet Pimpernel	Baroness Orczy	42236	5020	464	459	779	1095	1139	819	53	66	77	89	96	99
dd36bc8e	baroness-orczy/the-triumph-of-the-scarlet-pimpernel	2022-10-04	2022-10-04	The Triumph of the Scarlet Pimpernel	Baroness Orczy	44405	5811	467	457	809	1155	1328	1112	50	62	74	86	94	99
6373ba7c	barry-morrow/rain-man	2022-10-04	2022-10-04	Rain Man	Barry Morrow	3474	566	289	112	65	55	23	20	69	81	88	93	96	100
165d9b94	barry-rachin/the-stockbroker-s-cleaning-woman	2022-10-04	2022-10-04	The Stockbroker’s Cleaning Woman	Barry Rachin	1840	1040	280	125	152	153	133	105	44	53	67	77	88	95
d8ec5a9e	beddall-fiona/alexander-the-great	2022-10-04	2022-10-04	Alexander the Great	Beddall Fiona	7745	1333	386	230	243	204	97	87	52	66	78	90	94	97
47358f63	ben-jonson/the-alchemist	2022-10-04	2022-10-04	The Alchemist	Ben Jonson	15181	2926	439	333	513	524	496	369	52	62	72	83	89	98
b0d6486f	benjamin-disraeli/sybil	2022-10-04	2022-10-04	Sybil	Benjamin Disraeli	75186	7405	470	487	921	1499	1865	1488	52	64	77	87	95	99
63531589	benjamin-franklin/the-autobiography-of-benjamin-franklin	2022-10-04	2022-10-04	The Autobiography of Benjamin Franklin	Benjamin Franklin	32223	4443	458	412	730	956	974	640	52	64	78	88	96	99
283b8c5f	bernard-smith/the-last-photo	2022-10-04	2022-10-04	The Last Photo	Bernard Smith	382	142	88	22	7	16	5	1	58	70	80	87	95	97
9272f1e6	bernard-smith/the-ring	2022-10-04	2022-10-04	The Ring	Bernard Smith	6744	706	329	144	115	75	24	14	73	88	95	98	100	100
ec103737	bertrand-russell/the-problems-of-philosophy	2022-10-04	2022-10-04	The Problems of Philosophy	Bertrand Russell	20219	2108	365	267	371	377	330	261	52	67	80	89	96	99
